"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","0.0233","0.0233","0.0234","0.0232","0.00%"
"Dec 30, 2021","0.0233","0.0234","0.0234","0.0232","0.00%"
"Dec 29, 2021","0.0233","0.0233","0.0234","0.0233","0.00%"
"Dec 28, 2021","0.0233","0.0234","0.0234","0.0232","0.00%"
"Dec 27, 2021","0.0233","0.0234","0.0234","0.0233","0.00%"
"Dec 24, 2021","0.0233","0.0234","0.0235","0.0233","-0.43%"
"Dec 23, 2021","0.0234","0.0234","0.0234","0.0233","0.43%"
"Dec 22, 2021","0.0233","0.0234","0.0234","0.0233","0.00%"
"Dec 21, 2021","0.0233","0.0234","0.0235","0.0233","-0.43%"
"Dec 20, 2021","0.0234","0.0234","0.0235","0.0234","0.00%"
"Dec 17, 2021","0.0234","0.0235","0.0236","0.0234","0.00%"
"Dec 16, 2021","0.0234","0.0235","0.0236","0.0234","0.00%"
"Dec 15, 2021","0.0234","0.0235","0.0235","0.0234","-0.43%"
"Dec 14, 2021","0.0235","0.0235","0.0236","0.0234","0.00%"
"Dec 13, 2021","0.0235","0.0234","0.0236","0.0234","0.43%"
"Dec 10, 2021","0.0234","0.0236","0.0236","0.0234","-0.43%"
"Dec 09, 2021","0.0235","0.0236","0.0236","0.0235","-0.42%"
"Dec 08, 2021","0.0236","0.0236","0.0236","0.0235","0.00%"
"Dec 07, 2021","0.0236","0.0235","0.0236","0.0234","0.43%"
"Dec 06, 2021","0.0235","0.0235","0.0235","0.0233","0.43%"
"Dec 03, 2021","0.0234","0.0236","0.0236","0.0234","-0.85%"
"Dec 02, 2021","0.0236","0.0236","0.0236","0.0235","0.43%"
"Dec 01, 2021","0.0235","0.0234","0.0236","0.0233","0.43%"
"Nov 30, 2021","0.0234","0.0233","0.0234","0.0232","0.43%"
"Nov 29, 2021","0.0233","0.0233","0.0234","0.0233","0.00%"
"Nov 26, 2021","0.0233","0.0234","0.0234","0.0233","-0.43%"
"Nov 25, 2021","0.0234","0.0234","0.0235","0.0233","0.00%"
"Nov 24, 2021","0.0234","0.0234","0.0235","0.0233","0.43%"
"Nov 23, 2021","0.0233","0.0234","0.0235","0.0233","0.00%"
"Nov 22, 2021","0.0233","0.0234","0.0235","0.0233","-0.43%"
"Nov 19, 2021","0.0234","0.0236","0.0236","0.0234","-0.43%"
"Nov 18, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Nov 17, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Nov 16, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Nov 15, 2021","0.0235","0.0236","0.0236","0.0235","0.00%"
"Nov 12, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Nov 11, 2021","0.0235","0.0235","0.0236","0.0234","0.43%"
"Nov 10, 2021","0.0234","0.0236","0.0236","0.0234","-0.85%"
"Nov 09, 2021","0.0236","0.0236","0.0236","0.0231","0.00%"
"Nov 08, 2021","0.0236","0.0236","0.0236","0.0235","0.43%"
"Nov 05, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Nov 04, 2021","0.0235","0.0236","0.0236","0.0235","-0.42%"
"Nov 03, 2021","0.0236","0.0237","0.0237","0.0235","-0.42%"
"Nov 02, 2021","0.0237","0.0236","0.0237","0.0236","0.42%"
"Nov 01, 2021","0.0236","0.0237","0.0237","0.0236","-0.42%"
"Oct 29, 2021","0.0237","0.0238","0.0238","0.0236","-0.42%"
"Oct 28, 2021","0.0238","0.0237","0.0238","0.0236","0.42%"
"Oct 27, 2021","0.0237","0.0238","0.0239","0.0237","-0.42%"
"Oct 26, 2021","0.0238","0.0239","0.0239","0.0238","-0.42%"
"Oct 25, 2021","0.0239","0.0236","0.0239","0.0236","0.84%"
"Oct 22, 2021","0.0237","0.0237","0.0237","0.0236","0.42%"
"Oct 21, 2021","0.0236","0.0237","0.0237","0.0236","-0.42%"
"Oct 20, 2021","0.0237","0.0237","0.0238","0.0236","0.00%"
"Oct 19, 2021","0.0237","0.0236","0.0237","0.0236","0.42%"
"Oct 18, 2021","0.0236","0.0236","0.0237","0.0236","0.00%"
"Oct 15, 2021","0.0236","0.0237","0.0237","0.0236","-0.42%"
"Oct 14, 2021","0.0237","0.0236","0.0237","0.0236","0.42%"
"Oct 13, 2021","0.0236","0.0235","0.0237","0.0235","0.43%"
"Oct 12, 2021","0.0235","0.0235","0.0236","0.0234","0.43%"
"Oct 11, 2021","0.0234","0.0235","0.0236","0.0234","0.00%"
"Oct 08, 2021","0.0234","0.0235","0.0236","0.0234","-0.43%"
"Oct 07, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Oct 06, 2021","0.0235","0.0235","0.0236","0.0234","0.00%"
"Oct 05, 2021","0.0235","0.0236","0.0236","0.0235","-0.42%"
"Oct 04, 2021","0.0236","0.0235","0.0236","0.0235","0.43%"
"Oct 01, 2021","0.0235","0.0235","0.0236","0.0234","0.00%"
"Sep 30, 2021","0.0235","0.0235","0.0236","0.0234","0.43%"
"Sep 29, 2021","0.0234","0.0235","0.0236","0.0234","0.00%"
"Sep 28, 2021","0.0234","0.0235","0.0236","0.0234","-0.43%"
"Sep 27, 2021","0.0235","0.0235","0.0236","0.0235","0.00%"
"Sep 24, 2021","0.0235","0.0236","0.0237","0.0235","-0.42%"
"Sep 23, 2021","0.0236","0.0235","0.0237","0.0234","0.43%"
"Sep 22, 2021","0.0235","0.0235","0.0236","0.0234","0.43%"
"Sep 21, 2021","0.0234","0.0235","0.0235","0.0234","0.00%"
"Sep 20, 2021","0.0234","0.0235","0.0236","0.0234","-0.43%"
"Sep 17, 2021","0.0235","0.0236","0.0236","0.0235","-0.42%"
"Sep 16, 2021","0.0236","0.0237","0.0237","0.0236","-0.42%"
"Sep 15, 2021","0.0237","0.0236","0.0237","0.0236","0.42%"
"Sep 14, 2021","0.0236","0.0236","0.0237","0.0236","0.00%"
"Sep 13, 2021","0.0236","0.0236","0.0237","0.0235","0.00%"
"Sep 10, 2021","0.0236","0.0236","0.0237","0.0236","0.00%"
