"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","27.712","27.737","27.809","27.587","-0.04%"
"Dec 30, 2021","27.722","27.645","27.767","27.523","0.31%"
"Dec 29, 2021","27.636","27.656","27.700","27.592","0.02%"
"Dec 28, 2021","27.630","27.690","27.709","27.603","-0.21%"
"Dec 27, 2021","27.687","27.693","27.764","27.656","0.03%"
"Dec 24, 2021","27.678","27.708","27.793","27.632","-0.05%"
"Dec 23, 2021","27.693","27.777","27.817","27.697","-0.25%"
"Dec 22, 2021","27.762","27.802","27.862","27.738","-0.13%"
"Dec 21, 2021","27.797","27.871","27.896","27.791","-0.21%"
"Dec 20, 2021","27.856","27.842","27.920","27.785","0.10%"
"Dec 17, 2021","27.828","27.823","27.875","27.749","0.07%"
"Dec 16, 2021","27.808","27.800","27.879","27.737","0.10%"
"Dec 15, 2021","27.781","27.837","27.895","27.763","-0.18%"
"Dec 14, 2021","27.832","27.831","27.907","27.755","0.10%"
"Dec 13, 2021","27.805","27.648","27.858","27.643","0.63%"
"Dec 10, 2021","27.632","27.738","27.784","27.641","-0.37%"
"Dec 09, 2021","27.735","27.723","27.808","27.631","0.06%"
"Dec 08, 2021","27.719","27.756","27.789","27.671","-0.07%"
"Dec 07, 2021","27.739","27.729","27.820","27.669","0.09%"
"Dec 06, 2021","27.713","27.672","27.764","27.667","0.21%"
"Dec 03, 2021","27.656","27.768","27.790","27.646","-0.35%"
"Dec 02, 2021","27.753","27.712","27.789","27.614","0.24%"
"Dec 01, 2021","27.687","27.641","27.813","27.588","0.21%"
"Nov 30, 2021","27.628","27.778","27.806","27.624","-0.48%"
"Nov 29, 2021","27.760","27.868","27.888","27.763","-0.33%"
"Nov 26, 2021","27.853","27.812","27.949","27.774","0.22%"
"Nov 25, 2021","27.792","27.815","27.849","27.763","-0.01%"
"Nov 24, 2021","27.796","27.803","27.868","27.759","0.05%"
"Nov 23, 2021","27.782","27.815","27.872","27.738","-0.06%"
"Nov 22, 2021","27.800","27.801","27.869","27.761","0.05%"
"Nov 19, 2021","27.786","27.838","27.912","27.766","0.00%"
"Nov 18, 2021","27.786","27.772","27.903","27.746","0.06%"
"Nov 17, 2021","27.769","27.844","27.875","27.757","-0.22%"
"Nov 16, 2021","27.829","27.791","27.896","27.732","0.28%"
"Nov 15, 2021","27.750","27.796","27.843","27.736","-0.11%"
"Nov 12, 2021","27.781","27.833","27.883","27.764","-0.17%"
"Nov 11, 2021","27.828","27.803","27.869","27.752","0.16%"
"Nov 10, 2021","27.783","27.777","27.854","27.698","0.07%"
"Nov 09, 2021","27.763","27.845","27.864","27.691","-0.23%"
"Nov 08, 2021","27.828","27.845","27.907","27.810","-0.01%"
"Nov 05, 2021","27.830","27.891","27.969","27.834","-0.17%"
"Nov 04, 2021","27.876","27.800","27.972","27.775","0.29%"
"Nov 03, 2021","27.795","27.888","27.941","27.782","-0.32%"
"Nov 02, 2021","27.883","27.841","27.933","27.800","0.13%"
"Nov 01, 2021","27.847","27.831","27.888","27.812","0.09%"
"Oct 29, 2021","27.822","27.793","27.935","27.722","0.12%"
"Oct 28, 2021","27.789","27.814","27.878","27.729","-0.04%"
"Oct 27, 2021","27.799","27.804","27.885","27.735","0.04%"
"Oct 26, 2021","27.788","27.877","27.904","27.736","-0.30%"
"Oct 25, 2021","27.872","27.852","27.920","27.835","0.02%"
"Oct 22, 2021","27.867","27.868","27.951","27.816","-0.01%"
"Oct 21, 2021","27.869","27.875","27.921","27.816","-0.00%"
"Oct 20, 2021","27.870","27.863","27.948","27.789","0.04%"
"Oct 19, 2021","27.858","27.996","28.039","27.792","-0.48%"
"Oct 18, 2021","27.991","27.966","28.044","27.961","0.14%"
"Oct 15, 2021","27.952","28.035","28.102","27.942","-0.28%"
"Oct 14, 2021","28.030","28.060","28.126","28.003","-0.04%"
"Oct 13, 2021","28.042","28.137","28.182","28.014","-0.33%"
"Oct 12, 2021","28.134","28.053","28.202","28.027","0.31%"
"Oct 11, 2021","28.048","28.075","28.140","27.989","-0.08%"
"Oct 08, 2021","28.071","27.997","28.163","27.966","0.28%"
"Oct 07, 2021","27.992","27.983","28.038","27.920","0.06%"
"Oct 06, 2021","27.974","27.911","28.083","27.864","0.24%"
"Oct 05, 2021","27.906","27.933","27.984","27.865","-0.08%"
"Oct 04, 2021","27.928","27.769","27.994","27.764","0.63%"
"Oct 01, 2021","27.754","27.840","27.892","27.764","-0.20%"
"Sep 30, 2021","27.810","27.865","27.898","27.772","-0.18%"
"Sep 29, 2021","27.860","27.823","27.892","27.739","0.28%"
"Sep 28, 2021","27.781","27.718","27.834","27.664","0.23%"
"Sep 27, 2021","27.716","27.743","27.756","27.669","-0.07%"
"Sep 24, 2021","27.735","27.755","27.792","27.671","-0.05%"
"Sep 23, 2021","27.750","27.767","27.825","27.689","-0.04%"
"Sep 22, 2021","27.762","27.761","27.834","27.701","0.03%"
"Sep 21, 2021","27.754","27.814","27.881","27.726","-0.14%"
"Sep 20, 2021","27.794","27.797","27.892","27.778","0.04%"
"Sep 17, 2021","27.782","27.756","27.865","27.672","0.11%"
"Sep 16, 2021","27.751","27.669","27.798","27.622","0.31%"
"Sep 15, 2021","27.664","27.702","27.774","27.615","-0.11%"
"Sep 14, 2021","27.694","27.689","27.733","27.632","0.04%"
"Sep 13, 2021","27.684","27.666","27.739","27.622","0.08%"
"Sep 10, 2021","27.661","27.675","27.740","27.574","-0.03%"
"Sep 09, 2021","27.670","27.721","27.784","27.635","-0.13%"
"Sep 08, 2021","27.706","27.630","27.784","27.594","0.29%"
"Sep 07, 2021","27.625","27.549","27.708","27.537","0.29%"
"Sep 06, 2021","27.544","27.622","27.671","27.545","-0.23%"
"Sep 03, 2021","27.607","27.674","27.740","27.588","-0.22%"
"Sep 02, 2021","27.669","27.742","27.767","27.633","-0.16%"
"Sep 01, 2021","27.714","27.662","27.803","27.579","0.23%"
"Aug 31, 2021","27.651","27.766","27.793","27.605","-0.40%"
"Aug 30, 2021","27.762","27.888","27.902","27.731","-0.39%"
"Aug 27, 2021","27.871","27.943","27.993","27.853","-0.22%"
"Aug 26, 2021","27.933","27.919","28.001","27.870","0.13%"
"Aug 25, 2021","27.896","27.928","27.982","27.877","-0.06%"
"Aug 24, 2021","27.914","27.941","27.997","27.889","-0.05%"
